# sample: 2729_1 PPMS
# Temperature	Magnetic_Field	Resistance_xy
# K	Oe	Ohms
2.00194996595383	128.029100036621	4.77849037647247
1.99325001239777	614.06259765625	40.0845115661621
1.99990004301071	1099.1087890625	76.1438835144043
2.00884997844696	1624.95579833984	115.995118713379
2.01489996910095	2113.44860839844	153.078189086914
2.01060009002686	2615.57890625	191.235122680664
2.02620005607605	3093.62001953125	227.611672973633
2.0173499584198	3603.09050292969	266.369512939453
1.99885004758835	4099.59460449219	303.956567382813
2.01320004463196	4599.67568359375	342.044589233398
2.00390005111694	5099.47709960937	379.942749023438
2.00999999046326	5593.5404296875	417.403842163086
2.00170004367828	6065.4892578125	453.006539916992
2.00279998779297	6590.72163085938	492.503851318359
1.9986999630928	7087.5421875	530.145062255859
2.0164999961853	7573.6685546875	567.035577392578
2.01599991321564	8086.04580078125	605.721984863281
2.00824999809265	8602.22373046875	644.748974609375
2.00905001163483	9086.99052734375	681.145977783203
2.05634999275208	9587.03408203125	718.887182617187
2.00540000200272	10072.9745117188	756.401843261719
1.99524998664856	10599.7341796875	797.483172607422
2.00554996728897	11081.1102539063	831.798590087891
2.0150500535965	11591.941015625	868.323223876953
2.01859998703003	12089.2086914062	911.422619628906
2.02155005931854	12583.1602539063	942.058538818359
2.0106999874115	13080.111328125	986.594085693359
2.01014995574951	13590.979296875	1017.31670532227
2.00499999523163	14075.3734375	1064.27919921875
2.01725006103516	14587.4897460938	1090.42169189453
2.01279997825623	15075.2372070313	1134.67053222656
2.01695001125336	15589.9432617188	1171.29421386719
2.00784993171692	16078.9391601562	1200.66407470703
1.99470001459122	16588.14921875	1250.68468017578
2.00175005197525	17073.4001953125	1286.2787109375
2.00065004825592	17586.8763671875	1311.25748291016
2.01520001888275	18089.975390625	1353.64429931641
1.99684995412827	18578.4869140625	1408.23809814453
2.01119995117188	19079.8716796875	1430.6154296875
2.00325000286102	19594.112109375	1457.95758056641
1.99644994735718	20082.1951171875	1496.88435058594
2.01099997758865	20595.0751953125	1552.47666015625
2.00890004634857	21097.8205078125	1600.65303955078
2.00435000658035	21584.45	1610.85717773438
2.00150007009506	22088.462109375	1639.3310546875
2.01289999485016	22590.033203125	1677.85961914063
1.99970000982285	23089.9283203125	1725.39410400391
2.01174998283386	23599.0822265625	1785.19443359375
2.01639997959137	24076.359375	1827.15598144531
1.99219995737076	24589.89140625	1834.79425048828
2.00690007209778	25077.098828125	1854.66743164063
2.00065004825592	25591.041015625	1890.04488525391
2.00500005483627	26084.340625	1927.02758789063
2.01040005683899	26591.2029296875	1978.80695800781
2.01510000228882	27112.1314453125	2039.47254638672
2.00685000419617	27590.3216796875	2095.87609863281
2.00094997882843	28077.9572265625	2129.92087402344
2.00045001506805	28589.328515625	2135.62485351563
2.00024998188019	29094.551171875	2146.15810546875
1.99994999170303	29605.7732421875	2175.45427246094
2.00004994869232	30075.1328125	2210.45649414063
1.99989998340607	30591.6083984375	2254.42221679688
2.00009989738464	31100.5576171875	2299.63674316406
1.99989998340607	31603.5263671875	2348.59895019531
1.9962500333786	32076.9841796875	2400.7681640625
2.01629996299744	32602.9052734375	2467.93664550781
2.00080001354218	33078.1890625	2520.14929199219
2.00625002384186	33593.007421875	2548.90615234375
2.03670001029968	34097.8765625	2553.44313964844
2.02304995059967	34606.751171875	2557.6990234375
1.99704998731613	35084.922265625	2568.30192871094
2.02525007724762	35591.151171875	2595.24501953125
2.00395005941391	36097.791015625	2634.88122558594
2.00634998083115	36604.652734375	2681.16162109375
2.01604998111725	37078.91171875	2723.5580078125
1.99375003576279	37584.190625	2768.47160644531
2.00940001010895	38082.315234375	2807.48786621094
2.00600004196167	38601.269140625	2849.52507324219
2.01259994506836	39083.1296875	2894.079296875
2.01354992389679	39602.381640625	2955.40832519531
2.01129996776581	40105.852734375	3021.9181640625
1.99700003862381	40586.353125	3083.49372558594
1.99970006942749	41082.371875	3139.83193359375
2.01555001735687	41590.017578125	3167.22846679688
2.00699996948242	42087.416015625	3174.2685546875
2.01214993000031	42596.64453125	3176.61811523438
2.01230001449585	43074.704296875	3179.91745605469
2.00334995985031	43589.11171875	3187.37937011719
1.99620002508163	44097.48359375	3195.31472167969
2.01554989814758	44590.633984375	3213.29741210937
2.01639997959137	45089.615625	3248.4234375
1.99759995937347	45588.709375	3297.42836914062
1.99880003929138	46094.565625	3354.45415039062
2.01269996166229	46600.533984375	3414.20310058594
2.00950002670288	47067.28515625	3466.79982910156
2.01440000534058	47586.25703125	3516.90642089844
2.00114995241165	48080.413671875	3553.75417480469
2.02660000324249	48589.605078125	3585.91806640625
2.02390003204346	49098.18203125	3606.01618652344
2.00789999961853	49600.98203125	3626.30849609375
2.01345002651215	50074.757421875	3649.99223632812
2.02009999752045	50597.791796875	3689.79135742188
2.00850009918213	51098.449609375	3740.12600097656
2.00769996643066	51602.871484375	3804.54826660156
1.9974000453949	52095.6484375	3878.70258789063
1.99889999628067	52606.10703125	3961.50241699219
2.00635004043579	53081.35390625	4025.65161132813
2.00824999809265	53589.446484375	4102.98081054687
1.99700003862381	54091.129296875	4149.71767578125
2.03104996681213	54591.806640625	4176.0353515625
2.03719997406006	55075.883984375	4184.82358398437
1.99744999408722	55582.373828125	4193.19306640625
1.99760001897812	56089.869921875	4194.7380859375
2.02360010147095	56586.11328125	4197.40932617188
2.06910002231598	57091.37265625	4202.9900390625
2.00589990615845	57593.7265625	4211.82021484375
2.00039994716644	58084.901953125	4217.15180664063
2.02785003185272	58605.77421875	4225.9703125
2.0147500038147	59104.775390625	4227.8677734375
1.99675005674362	59607.501953125	4229.70317382812
2.01394999027252	60080.7359375	4236.940625
2.01224994659424	60601.66484375	4258.72026367187
2.01165002584457	61105.30390625	4294.3412109375
2.00385004281998	61580.159375	4341.12895507812
2.00889992713928	62104.310546875	4409.83876953125
1.99600005149841	62582.31484375	4478.20151367187
1.99945002794266	63090.83515625	4567.57895507812
1.99439996480942	63599.896484375	4655.22060546875
2.00689995288849	64072.58984375	4726.03354492187
2.00390005111694	64588.9171875	4811.63637695313
2.02330005168915	65077.838671875	4878.91962890625
2.01129996776581	65603.51796875	4928.57758789063
2.01269996166229	66103.934375	4961.91166992187
1.99414998292923	66605.0046875	4983.7455078125
2.01415002346039	67104.67265625	4997.00102539062
2.00210005044937	67575.0578125	4998.54462890625
2.0173499584198	68100.19609375	5009.92685546875
2.01969993114471	68605.73515625	5012.463671875
2.01155006885529	69082.0078125	5009.55708007813
2.01545000076294	69595.6140625	5015.78930664063
2.00784993171692	70095.37890625	5018.87763671875
2.00029993057251	70602.87421875	5025.71103515625
2.00014996528625	71098.296875	5038.3875
2.00039994716644	71597.05546875	5059.55053710938
2.00194996595383	72105.07265625	5091.20698242188
2.00154995918274	72600.7578125	5132.74985351562
2.00940001010895	73098.7140625	5185.15688476563
1.99670004844666	73597.1921875	5248.39033203125
2.00310003757477	74088.83515625	5320.23051757812
2.00464999675751	74582.5078125	5400.900390625
1.99755001068115	75103.04453125	5493.44619140625
2.00805002450943	75589.7484375	5594.6697265625
1.99774998426437	76100.56015625	5689.50483398438
2.01919996738434	76590.89765625	5776.46298828125
2.06389999389648	77102.88359375	5856.27202148437
1.98954999446869	77601.6609375	5933.15908203125
2.00609993934631	78102.48671875	5994.39423828125
2.00390005111694	78567.6734375	6039.75595703125
1.99075001478195	79100.59921875	6079.5763671875
1.99674999713898	79600.25234375	6103.19560546875
2.00174993276596	80081.0328125	6117.47026367187
1.99605000019073	80578.37265625	6125.27612304688
1.99895000457764	81090.08046875	6130.55258789062
2.00449997186661	81589.025	6132.58872070312
2.00625002384186	82085.08046875	6133.4134765625
2.00929999351501	82580.1328125	6134.73505859375
2.00870001316071	83082.671875	6137.05678710938
2.00389993190765	83610.084375	6140.88032226563
2.0069500207901	84077.59921875	6146.6921875
1.99444997310638	84574.86796875	6154.97358398438
1.99979996681213	85092.5921875	6167.40415039062
1.98855000734329	85597.609375	6181.76162109375
2.01209992170334	86092.45390625	6196.13862304688
2.00894999504089	86581.4703125	6210.75043945313
2.00304996967316	87098.728125	6224.24038085938
1.99344998598099	87591.5796875	6235.16083984375
2.01560008525848	88083.55703125	6244.03017578125
1.99519997835159	88590.4375	6251.67954101562
1.99019998311996	89081.85546875	6257.519140625
2.00739991664886	89581.471875	6263.36982421875
2.00755000114441	90000.8625	6268.90502929688
