# sample: 2729_1 PPMS
# Temperature	Magnetic_Field	Resistance_xx
# K	Oe	Ohm
2.00104993581772	314.688296508789	39.0764579772949
2.00154995918274	801.858502197266	39.2059463500977
2.00894999504089	1297.78471679688	39.336812210083
2.00870001316071	1792.16490478516	39.4807353973389
2.01754999160767	2285.2033203125	39.6453220367432
2.00049996376038	2772.89509277344	39.8270977020264
2.00944995880127	3265.11413574219	40.0282085418701
2.02474999427795	3764.05852050781	40.2823162078857
2.0001500248909	4262.42568359375	40.5379261016846
2.00150001049042	4742.06879882813	40.7976913452148
2.01094996929169	5250.77573242187	40.7235717773438
2.04844999313354	5735.1138671875	41.5559116363525
2.01090002059937	6201.4921875	41.2461532592773
2.00794994831085	6723.57592773438	41.7676364898682
2.00584995746613	7241.03916015625	42.7589584350586
2.01264995336533	7719.24770507813	44.0186256408691
2.06459999084473	8248.01982421875	44.9929885864258
2.04939997196198	8739.81005859375	46.8593338012695
1.99945002794266	9242.27587890625	48.7131832122803
2.01534998416901	9739.59951171875	50.9970504760742
1.99979996681213	10219.4104492188	50.4892295837402
2.01695001125336	10737.7678710938	44.3214282989502
2.01075005531311	11233.0422851563	47.4544143676758
1.99190002679825	11739.9791992187	61.9617702484131
2.01189994812012	12235.8311523438	40.5637428283691
2.03365004062653	12713.1828125	66.8446083068848
2.01715004444122	13237.297265625	44.3020092010498
2.01034998893738	13744.3084960938	73.6763145446777
2.03450000286102	14236.4904296875	35.8367664337158
1.99750000238419	14735.7702148437	82.8047180175781
2.0297999382019	15218.8041015625	60.0731342315674
2.00190001726151	15758.1583984375	59.6338764190674
2.00455003976822	16220.437890625	96.7640113830566
2.0077999830246	16743.266796875	62.3535369873047
2.01760005950928	17224.3447265625	47.5795310974121
2.0103999376297	17736.6845703125	105.667172241211
2.01645004749298	18238.9267578125	104.984364318848
2.01060009002686	18716.7814453125	51.2171875
2.01789999008179	19231.673828125	62.7596378326416
2.00915002822876	19753.496484375	121.852153778076
2.01504993438721	20233.642578125	132.347178649902
1.99979996681213	20732.2333984375	96.9650436401367
1.99860000610352	21242.16953125	43.5345783233643
2.01744997501373	21736.5126953125	81.1587272644043
2.01484990119934	22234.7861328125	138.606954956055
2.01429998874664	22735.4080078125	161.093276977539
2.00404995679855	23222.055859375	150.032638549805
2.00854992866516	23736.09140625	103.432178497314
2.00975006818771	24225.1427734375	55.8860935211182
2.01024997234344	24737.9111328125	77.0543144226074
2.00370001792908	25225.9197265625	136.818800354004
2.00034999847412	25733.8068359375	181.924000549316
1.99775004386902	26221.36796875	198.156561279297
2.00069999694824	26735.7201171875	192.703707885742
2.00669997930527	27259.1453125	162.762678527832
1.99710005521774	27731.72734375	115.261412811279
2.00724995136261	28225.5298828125	76.4239624023437
2.00020003318787	28733.6779296875	80.8427742004395
2.00004994869232	29238.65859375	129.462661743164
2.00014996528625	29744.850390625	186.876577758789
2.00014996528625	30216.5943359375	224.99513092041
2.00014996528625	30724.816796875	244.94627532959
1.99994999170303	31249.50859375	250.798609924316
1.99935001134872	31736.2689453125	245.123748779297
2.01910006999969	32220.644140625	227.291575622559
2.00945001840591	32743.6220703125	191.614515686035
2.00199997425079	33221.030078125	148.343452453613
2.00894999504089	33744.62265625	114.005574035645
2.02690005302429	34234.68046875	106.637483978271
2.00545001029968	34767.56953125	122.371060180664
2.01394999027252	35221.633203125	160.351753234863
1.99409997463226	35727.620703125	214.608950805664
2.01569998264313	36242.009375	263.714639282227
2.00484997034073	36744.736328125	294.292144775391
2.02175009250641	37210.797265625	310.04255065918
2.00919997692108	37724.646484375	319.237487792969
2.00720000267029	38243.060546875	323.898870849609
2.01479995250702	38740.30859375	325.364227294922
2.00964999198914	39223.697265625	322.666854858398
2.00670003890991	39742.203515625	312.408001708984
2.01894998550415	40239.0796875	292.430267333984
2.01905000209808	40731.335546875	262.110446166992
2.01330006122589	41222.32578125	225.414512634277
2.01270002126694	41730.752734375	192.798840332031
2.01689994335175	42238.97578125	176.320555114746
2.01249992847443	42740.975390625	169.741987609863
2.00495004653931	43215.271875	168.101313781738
2.01660001277924	43724.7234375	180.911515808105
1.99674999713898	44244.981640625	212.732084655762
2.01164996623993	44754.154296875	258.306958007813
1.99750000238419	45237.2625	305.68288269043
2.01010000705719	45727.43203125	348.422317504883
2.0124499797821	46237.425	381.036544799805
2.01769995689392	46734.003125	401.15563659668
2.0048999786377	47213.777734375	411.890106201172
2.01875007152557	47724.291015625	416.821691894531
2.00889992713928	48226.327734375	418.365844726563
1.99930000305176	48739.43203125	420.224365234375
2.01409995555878	49234.482421875	424.79245300293
1.99580001831055	49752.59765625	433.221762084961
2.00429999828339	50219.851953125	443.074234008789
2.01510000228882	50727.309765625	454.106079101563
2.00429999828339	51233.930859375	463.033004760742
2.0147500038147	51744.18359375	467.742022705078
2.00979995727539	52244.562109375	466.320541381836
2.00425004959106	52750.121484375	457.666070556641
2.02970004081726	53222.890234375	442.357934570313
2.00629997253418	53725.709375	418.978240966797
2.01605010032654	54239.01796875	390.353988647461
2.00485002994537	54734.8140625	362.86545715332
2.00949990749359	55219.87890625	340.659872436523
2.00134998559952	55729.18203125	324.916036987305
2.00150001049042	56232.24375	316.093923950195
2.00909996032715	56732.82734375	309.955349731445
2.01824998855591	57227.506640625	303.153277587891
2.01510000228882	57759.5390625	296.570065307617
2.01005005836487	58231.151953125	294.64479675293
2.01910006999969	58745.671875	299.93703918457
2.01929998397827	59247.578125	315.022512817383
2.01654994487762	59753.230078125	341.036557006836
2.00125002861023	60227.61875	374.319427490234
2.00284999608994	60734.8546875	417.300149536133
2.01005005836487	61248.294140625	464.015417480469
2.00555002689362	61719.3109375	504.796728515625
2.00020003318787	62242.866015625	544.738330078125
2.00990009307861	62741.3453125	575.984356689453
2.04635000228882	63234.868359375	600.201507568359
