# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 294.0
# I_hall (mA): 0.1
# ----------------------------------------
# B-Field[mT]	Rxy[ohm]
500.000000	-345.246247
450.000000	-314.643822
400.000000	-284.339842
350.000000	-252.061929
300.000000	-217.877733
250.000000	-182.953020
200.000000	-147.267192
