# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 50.7
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	6.491629
0.050000	3.370567
0.000000	0.257147
-0.050000	-2.649646
-0.100000	-5.773743
