# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 110.1
# I_hall (mA): 0.1
# ----------------------------------------
# B-Field[mT]	Rxy[ohm]
500.000000	-389.156573
450.000000	-354.735699
400.000000	-319.690169
350.000000	-283.259784
300.000000	-244.190949
250.000000	-204.797397
200.000000	-164.132669
