# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 240.6
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	37.504273
0.050000	19.342991
0.000000	1.083751
-0.050000	-16.021628
-0.100000	-34.490364
