# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 140.0
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	20.620330
0.050000	10.679548
0.000000	0.678206
-0.050000	-8.610945
-0.100000	-18.594947
