# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 210.2
# I_hall (mA): 0.1
# ----------------------------------------
# B-Field[mT]	Rxy[ohm]
500.000000	-362.713364
450.000000	-330.803613
400.000000	-298.770491
350.000000	-264.472095
300.000000	-229.078427
250.000000	-192.297178
200.000000	-154.386996
