# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 180.2
# I_hall (mA): 0.1
# ----------------------------------------
# B-Field[mT]	Rxy[ohm]
500.000000	-369.708846
450.000000	-336.787360
400.000000	-304.192473
350.000000	-269.363555
300.000000	-232.657309
250.000000	-195.254119
200.000000	-156.923965
