# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 80.7
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	10.795686
0.050000	5.570589
0.000000	0.400622
-0.050000	-4.388010
-0.100000	-9.534260
