# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 20.0
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	5.515662
0.050000	2.874845
0.000000	0.234683
-0.050000	-2.225582
-0.100000	-4.860440
