# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 6.1
# I_hall (mA): 0.1
# ----------------------------------------
# B-Field[mT]	Rxy[ohm]
500.000000	-399.594393
450.000000	-363.100481
400.000000	-328.155330
350.000000	-289.834295
300.000000	-250.185373
250.000000	-209.471673
200.000000	-167.695683
