# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 51.1
# I_hall (mA): 0.1
# ----------------------------------------
# B-Field[mT]	Rxy[ohm]
500.000000	-396.163873
450.000000	-360.739131
400.000000	-325.285606
350.000000	-288.121642
300.000000	-248.951850
250.000000	-208.665972
200.000000	-166.832192
