# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 210.6
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	33.435837
0.050000	17.241069
0.000000	0.948961
-0.050000	-14.208573
-0.100000	-30.460646
