# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 6.6
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	5.544557
0.050000	2.902923
0.000000	0.259272
-0.050000	-2.215654
-0.100000	-4.844448
