# Creator: HallBarExt-DC-Praktikum (version 1.2.1)
# Temperature (K): 180.6
# ----------------------------------------
# Current[mA]	Uxx[mV]
0.100000	28.274713
0.050000	14.595397
0.000000	0.847964
-0.050000	-11.940155
-0.100000	-25.818209
